普通DISCO, 洛天依
达拉崩吧, 洛天依
权御天下, 洛天依
万古生香, 洛天依
霜雪千年, 洛天依
东京不太热, 洛天依
九九八十一, 
一半一半, 洛天依
黑凤梨, 洛天依
一花依世界, 洛天依
老街北, 洛天依
勾指起誓, 洛天依
为了你唱下去, 洛天依
我的悲伤是水做的, 洛天依
绝体绝命, 洛天依
干物女, 洛天依
深夜书店, 洛天依
花儿纳吉, 
66CCFF, 洛天依
心印, 洛天依
万分之一的光, 洛天依
纯蓝, 洛天依
I LOVE U, 洛天依
夏虫, 洛天依
光与影的对白, 洛天依
反乌托邦Pt.2, 
上山岗, 洛天依
白鸟过河滩, 洛天依
写给我第一个喜欢的女孩的歌, 洛天依
深夜诗人, 洛天依
蝴蝶, 洛天依
戏游九州, 洛天依
大哉乾元, 洛天依
辟浪, 洛天依
竹鼠煮熟术, 
下等馬, 
有点甜, 
天星问, 洛天依
八辈子Remix2025, 
自暴自弃, 洛天依
道路千万条, 洛天依
神女别, 洛天依
八足的末日物语, 
心空, 洛天依
地心漂流, 洛天依
T.A.O., 
五重空洞, 
Rainy Bunny, 
如戏, 洛天依
阿弥陀佛头摇摇, 
你是瞬间, 洛天依
异样的风暴中心, 
hello&bye，days, 
Come Back, 洛天依
忆红莲, 洛天依
修山, 洛天依
獨依無二, 洛天依
七月, 洛天依
貓大俠, 洛天依
百分百女孩, 洛天依
孫尚香, 
神经病之歌, 
今天沒吃藥, 
怪物大暴走, 
陰陽先生, 
葬歌, 
世末歌者, 洛天依
山外小樓夜聽雨, 
追光使者, 洛天依
告死鸟, 
夜航星, 
少年, 洛天依
听我说, 洛天依
出发向未来, 洛天依
但愿人长久, 洛天依
冰雪奇缘, 
大市唱-摘苹果, 
王的火鸡面, 
超超超计算机世纪, 
蔚蓝星球, 洛天依
再见, 洛天依
洛春赋, 洛天依
歌行四方, 洛天依
捕蝇草, 
还没搞懂, 
咱欢欢喜喜过个年, 洛天依
寄明月, 
视奸, 
红昭愿, 
安娜的橱窗, 
非人哉, 
桃花笑, 
踏雪寻梅, 
梦的七次方, 洛天依
自来自然物语, 
倒带, 
天行健, 洛天依
人是猫, 
欲泪海, 
伞与守护的歌谣, 
幻想千年奏, 
親愛的你, 
孤狼, 
镜中绮旅, 
普罗米修斯, 
此行归去, 
絮雪, 
那日、两道弧光的天, 
救活一只知更鸟, 
恒星华尔兹, 
江南忆, 
Binary Life(二元生命), 
落水天依, 
左撕右裂, 
十重告别, 
倏然尘梦, 
代替我, 
去梦最远的地方, 
